sentence	label
most disturbing of all	0
taking care to avoid directly criticizing	0
led a move to suspend	0
experience the same fate	0
spoke out against	0
wilfully ignoring geneva conventions	0
had appealed	0
will finally deliver on his promises	1
axed	0
legitimate	1
enemy	0
eradicate	1
support	1
agreed	1
threatened by	0
without scientific basis	0
his best	1
had become one of the sides of the axis of evil	0
will not reopen talks	0
balkanisation	0
illegitimate	0
it is a positive development	1
destruction	0
threats	0
fair shares	1
regards	1
has been dragging along	0
so vast	0
heavy human losses	0
have also aggravated	0
makes no bones about considering	0
alienation	0
frighten tourists and investors away	0
brouhaha	0
we look at a bleak future	0
conclusion also reached	0
uncomfortable meeting	0
a window to the world	1
expressed sympathy	0
leaks	0
something else	0
would have a better idea if	1
are in shreds	0
wanting	1
do not recognize	0
keep alight the flame of	1
complete and blind bias toward israel	0
enthusiastically	1
more than that	1
warned	0
recognition	1
by flashing a carrot on a stick	0
another example	0
without any international legitimacy	0
ignoring	0
do n't think it is a wise thing	0
crime against humanity	0
principled	1
heckling	0
our goal	1
wanted	1
active role	1
found solidarity in the view	1
invites	0
renew our support	1
uproar	0
have been rubbed on her skin	0
a historic success	1
crowded , unventilated tents	0
free and fair	1
sympathy	1
last - ditch	0
admonishes	0
all join in	1
no incident serious enough to threaten	1
patriotism	1
threat	0
important new development	1
would not recognize	0
unilateral	0
refuses	0
shortsightedness and irresponsibility	0
unable to meet the minimum legitimate	0
turned down	0
depriving them of their rights	0
toy with the world in palms of their hands	0
an uneasy atmosphere reigns	0
axis of evil	0
had assured	1
common enemy of all civilized men and women	0
not responsible	0
resolute	1
collective disapproval	0
has refused to make any statements	0
wanted to ignore economic issues	0
weaker side	0
sees	0
crush	0
disagrees	0
got out of hand	0
could cause serious damage	0
impression	0
telling	0
message	0
overshadow	0
humiliates	0
those making the climate worse	0
nations that are n't transparent	0
done with ulterior motives	0
questioned	0
dream	1
possible to ensure the environmental integrity	1
water tight	1
many and often confusing	0
violated	0
sets a dangerous precedent	0
would not solve the problem	0
blair report	0
was satisfied	1
axis of evil	0
diplomatic flirtation with leftist world dictators	0
charges	0
unsound	0
has displayed unrelenting resolve and confidence	1
has offered unequivocal political support	1
world's most prominent self - styled palestinian refugee	0
tear its members apart	0
perception	1
flighty , opportunistic and lacking in commitment to his job as a member of parliament	0
collapse looked imminent	0
worst	0
thanked	1
ulterior motives	0
made the investigation more difficult	0
riddled with irregularities	0
a superficial exercise	0
far more bares bones	0
do not agree	0
stick to his principles	1
have formally renounced	0
have been accused	0
hardline	0
urge	1
to condemn	0
turning a new leaf toward fruitful negotiations leading to a just peace	1
stay in denial	0
concern	0
disagreeable	0
plotting	0
locked in a verbal war	0
pretends	0
not considered	0
meaningless	0
an ``axis of evil	0
am worried	0
must demand	1
old - style party boss	0
dangerous	0
limited	0
very hard time	0
stiff opposition	0
must not act as if it is venting its personal grudge	0
are considered	0
better fed	1
assassination	0
irrefutable	1
denied	0
branding	0
