sentence	label
too smart to ignore but a little too smugly superior to like , this could be a movie that ends up slapping its target audience in the face by shooting itself in the foot .	1
raimi and his team could n't have done any better in bringing the story of spider-man to the big screen .	4
often shocking but ultimately worthwhile exploration of motherhood and desperate mothers .	4
an alternately fascinating and frustrating documentary .	3
although melodramatic and predictable , this romantic comedy explores the friendship between five filipino-americans and their frantic efforts to find love .	2
a touching drama about old age and grief with a tour de force performance by michel piccoli .	4
... a rather bland affair .	1
problem is , we have no idea what in creation is going on .	1
enigma is well-made , but it 's just too dry and too placid .	1
but its storytelling prowess and special effects are both listless .	1
a bold -lrb- and lovely -rrb- experiment that will almost certainly bore most audiences into their own brightly colored dreams .	3
belongs in the too-hot-for-tv direct-to-video\/dvd category , and this is why i have given it a one-star rating .	1
every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat .	4
everything -- even life on an aircraft carrier -- is sentimentalized .	1
fresh and raw like a blown-out vein , narc takes a walking-dead , cop-flick subgenre and beats new life into it .	4
the movie , while beautiful , feels labored , with a hint of the writing exercise about it .	2
that 's because relatively nothing happens .	1
an impenetrable and insufferable ball of pseudo-philosophic twaddle .	1
humorless , self-conscious art drivel , made without a glimmer of intelligence or invention .	0
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .	4
schepisi , aided by a cast that seems to include every top-notch british actor who did not appear in gosford park -lrb- as well as one , ms. mirren , who did -rrb- , has succeeded beyond all expectation .	4
meyjes ' provocative film might be called an example of the haphazardness of evil .	3
the kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics .	1
does n't add up to much .	0
when it comes out on video , then it 's the perfect cure for insomnia .	0
almost peerlessly unsettling .	1
it is one more celluloid testimonial to the cruelties experienced by southern blacks as distilled through a caucasian perspective .	2
it 's just that it 's so not-at-all-good .	1
brosnan gives a portrayal as solid and as perfect as his outstanding performance as bond in die another day .	4
seagal , who looks more like danny aiello these days , mumbles his way through the movie .	0
far-fetched premise , convoluted plot , and thematic mumbo jumbo about destiny and redemptive love .	2
a movie that will wear you out and make you misty even when you do n't want to be .	2
all of the elements are in place for a great film noir , but director george hickenlooper 's approach to the material is too upbeat .	1
visually exciting sci-fi film which suffers from a lackluster screenplay .	2
it 's a rare window on an artistic collaboration .	3
take any 12-year-old boy to see this picture , and he 'll be your slave for a year .	3
writer \/ director m. night shyamalan 's ability to pull together easily accessible stories that resonate with profundity is undeniable .	3
entertaining but like shooting fish in a barrel .	2
measured against practically any like-themed film other than its oscar-sweeping franchise predecessor the silence of the lambs , red dragon rates as an exceptional thriller .	4
